Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,N_Perc,C_Perc,C_N,N_gm2,C_gm2,Sand_Perc,Clay_Perc,Silt_Perc,MB Carbon,Respiration,Initial NO3 (+NO2),Initial NH4,MBN,Net N Min,Net Nitr
Hillsdale 1,,1,Hillsdale 1_1,0to10,Forest,NA,NA,,NA,NA,0.909,0.131,2.367,18.033,0,0,20.9,13.5,65.6,248.0056495,5.843,0.277,10.297,65.433,0.417,0.07
Hillsdale 2,,1,Hillsdale 2_1,0to10,Forest,NA,NA,,NA,NA,0.833,0.2,3.112,15.543,0,0,33.9,12.2,53.9,461.5742368,8.219,9.164,7.807,95.314,0.386,0.351
Leakin 1,,1,Leakin 1_1,0to10,Forest,NA,NA,,NA,NA,0.927,0.175,2.329,13.316,0,0,38.3,14,47.6,414.5008999,5.853,9.069,0.819,65.638,0.18,0.186
Leakin 2 ,,1,Leakin 2 _1,0to10,Forest,NA,NA,,NA,NA,0.688,0.11,2.549,23.143,0,0,60.5,10.5,29,797.7840349,19.719,0.266,5.645,55.82,0.57,0
Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,0to10,Forest,NA,NA,,NA,NA,0.494,0.249,4.705,18.872,0,0,54.3,11.7,33.9,124.1263228,3.632,0.708,12.389,118.211,0.769,0.062
Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,0to10,Forest,NA,NA,,NA,NA,0.606,0.153,3.119,20.361,0,0,50.8,11.2,38,936.3272536,12.453,0.282,16.475,105.89,0.569,0.051
Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,0to10,Forest,NA,NA,,NA,NA,0.692,0.196,2.857,14.582,0,0,41.5,12.1,46.3,675.4195921,2.737,0.286,3.429,107.803,0.769,0
Hillsdale 1,,2,Hillsdale 1_2,0to10,Forest,NA,NA,,NA,NA,0.874,0.171,3.108,18.128,0,0,,,,391.7104111,14.342,0.278,9.44,64.971,1.638,0.025
Hillsdale 2,,2,Hillsdale 2_2,0to10,Forest,NA,NA,,NA,NA,0.643,0.171,2.225,13.048,0,0,,,,114.5445739,1.701,13.719,1.125,69.936,0.305,0.249
Leakin 1,,2,Leakin 1_2,0to10,Forest,NA,NA,,NA,NA,0.839,0.233,3.362,14.448,0,0,,,,558.1409981,12.758,3.439,3.042,100.196,-0.391,-0.247
Leakin 2 ,,2,Leakin 2 _2,0to10,Forest,NA,NA,,NA,NA,0.603,0.193,4.028,20.831,0,0,,,,669.7389587,16.876,0.301,15.813,113.472,0.453,0
